iter	Passed	Remaining
0	3	3367
1	6	3122
2	9	3090
3	13	3421
4	16	3297
5	19	3185
6	21	3099
7	25	3167
8	29	3222
9	31	3147
10	34	3082
11	36	3025
12	39	3020
13	43	3090
14	46	3059
15	49	3013
16	51	2977
17	54	2949
18	57	2980
19	61	3007
20	64	2986
21	66	2964
22	69	2945
23	73	3003
24	77	3025
25	80	3008
26	82	2987
27	86	2988
28	89	2993
29	93	3015
30	95	2995
31	98	2985
32	102	2990
33	105	2997
34	109	3016
35	112	3011
36	115	3006
37	119	3023
38	123	3043
39	126	3033
40	129	3021
41	132	3022
42	135	3026
43	140	3056
44	143	3049
45	146	3044
46	149	3036
47	153	3036
48	156	3042
49	159	3035
50	162	3019
51	164	3007
52	168	3011
53	171	3006
54	174	2991
55	176	2982
56	179	2969
57	182	2962
58	186	2970
59	189	2961
60	193	2971
61	195	2963
62	199	2962
63	202	2963
64	205	2953
65	208	2945
66	210	2938
67	213	2928
68	217	2935
69	220	2928
70	223	2922
71	226	2916
72	228	2907
73	233	2917
74	236	2914
75	239	2909
76	242	2903
77	245	2896
78	248	2896
79	251	2895
80	254	2888
81	257	2880
82	260	2874
83	263	2872
84	266	2874
85	269	2863
86	271	2852
87	274	2844
88	276	2834
89	280	2831
90	282	2826
91	285	2816
92	287	2807
93	290	2796
94	292	2786
95	295	2780
96	298	2776
97	300	2767
98	303	2759
99	305	2750
100	308	2743
101	311	2739
102	314	2739
103	317	2732
104	319	2726
105	322	2718
106	324	2710
107	327	2703
108	330	2699
109	332	2691
110	334	2682
111	337	2674
112	339	2666
113	342	2658
114	345	2655
115	347	2647
116	349	2638
117	351	2630
118	354	2624
119	358	2625
120	361	2625
121	363	2617
122	366	2610
123	368	2602
124	370	2595
125	373	2588
126	376	2587
127	378	2580
128	381	2573
129	383	2566
130	386	2563
131	389	2560
132	392	2557
133	394	2550
134	397	2543
135	399	2537
136	401	2531
137	404	2524
138	406	2520
139	409	2516
140	411	2509
141	414	2503
142	416	2498
143	419	2492
144	421	2486
145	424	2485
146	427	2478
147	429	2473
148	432	2467
149	434	2461
150	436	2455
151	439	2451
152	442	2447
153	444	2441
154	447	2436
155	449	2430
156	451	2424
157	454	2419
158	457	2420
159	461	2422
160	464	2421
161	467	2417
162	469	2411
163	472	2408
164	475	2403
165	477	2400
166	481	2401
167	483	2395
168	486	2389
169	488	2387
170	491	2385
171	494	2379
172	496	2374
173	498	2368
174	501	2363
175	503	2359
176	506	2355
177	509	2350
178	511	2345
179	513	2339
180	516	2334
181	518	2329
182	521	2327
183	523	2323
184	526	2318
185	528	2313
186	531	2309
187	533	2304
188	536	2301
189	538	2296
190	541	2291
191	543	2286
192	545	2281
193	548	2277
194	550	2272
195	552	2268
196	555	2263
197	557	2258
198	559	2253
199	562	2248
200	564	2243
201	566	2239
202	569	2236
203	571	2231
204	574	2227
205	576	2223
206	579	2219
207	581	2214
208	583	2210
209	586	2205
210	588	2201
211	591	2197
212	593	2192
213	595	2188
214	598	2185
215	601	2182
216	603	2178
217	606	2174
218	608	2170
219	610	2165
220	613	2162
221	615	2158
222	618	2155
223	621	2152
224	623	2148
225	626	2144
226	628	2140
227	631	2136
228	633	2132
229	635	2129
230	638	2124
231	640	2120
232	642	2115
233	645	2111
234	647	2107
235	649	2103
236	652	2099
237	654	2095
238	656	2090
239	659	2086
240	661	2083
241	663	2079
242	666	2075
243	668	2071
244	670	2067
245	673	2063
246	676	2061
247	678	2057
248	681	2054
249	683	2050
250	686	2047
251	688	2043
252	690	2039
253	693	2035
254	695	2031
255	697	2027
256	700	2023
257	702	2020
258	705	2017
259	707	2013
260	709	2009
261	712	2006
262	714	2002
263	716	1998
264	719	1995
265	721	1992
266	724	1988
267	726	1984
268	728	1980
269	731	1977
270	733	1974
271	736	1970
272	738	1966
273	740	1962
274	743	1959
275	745	1955
276	747	1951
277	750	1948
278	753	1946
279	755	1943
280	758	1939
281	760	1936
282	763	1933
283	765	1930
284	768	1929
285	771	1925
286	773	1921
287	775	1917
288	778	1914
289	780	1911
290	783	1908
291	785	1904
292	787	1900
293	789	1896
294	792	1892
295	794	1889
296	796	1886
297	799	1882
298	801	1879
299	803	1875
300	806	1872
301	808	1868
302	810	1865
303	813	1861
304	815	1858
305	817	1854
306	820	1851
307	822	1847
308	824	1844
309	827	1841
310	829	1838
311	832	1835
312	834	1831
313	836	1828
314	839	1824
315	841	1821
316	844	1818
317	846	1815
318	848	1812
319	851	1808
320	853	1805
321	855	1801
322	858	1798
323	860	1795
324	862	1792
325	865	1788
326	867	1785
327	869	1782
328	872	1778
329	874	1775
330	876	1772
331	879	1768
332	881	1765
333	883	1761
334	885	1758
335	888	1755
336	891	1753
337	893	1749
338	895	1746
339	898	1743
340	900	1739
341	902	1736
342	905	1733
343	907	1730
344	909	1727
345	911	1723
346	914	1720
347	916	1717
348	919	1714
349	921	1711
350	923	1707
351	926	1704
352	928	1702
353	930	1698
354	933	1695
355	935	1692
356	938	1689
357	940	1686
358	943	1683
359	945	1680
360	947	1677
361	950	1674
362	952	1671
363	954	1668
364	957	1665
365	959	1662
366	962	1659
367	964	1655
368	966	1652
369	968	1649
370	970	1646
371	973	1643
372	975	1640
373	978	1638
374	981	1635
375	983	1632
376	986	1629
377	988	1626
378	990	1623
379	993	1620
380	995	1617
381	997	1613
382	999	1610
383	1002	1607
384	1004	1604
385	1007	1602
386	1009	1599
387	1011	1596
